local_authority,timeperiod,percentage_of_adults_aged_18_classified_as_overweight_or_obese,utilisation_of_outdoor_space_for_exercise_health_reasons,percentage_of_physically_active_adults,percentage_of_physically_inactive_adults,percentage_of_adults_walking_for_travel_at_least_three_days_per_week,percentage_of_adults_cycling_for_travel_at_least_three_days_per_week,deprivation_score_imd_2015,proportion_of_the_population_meeting_the_recommended_5_a_day_on_a_usual_day_adults,proportion_of_the_population_with_gym_membership
Norwich,2022,73.7,24.5,59.9,31,9.9,1.3,28.8,56.6,10
Norwich,2023,69,28.1,58.8,30.3,9.6,3.6,28.8,56.4,9.4
Norwich,2024,64.1,36.9,64.2,27.4,8.7,1.4,28.8,55.4,9.9
Norwich,2025,66.9,25.2,63.8,27.4,9.6,1.1,28.8,55.8,9.3
Peterborough,2006,67.2,13.7,64.7,20.2,31.7,0.8,27.7,54.9,9.6
Peterborough,2007,51.1,12.4,71.6,18.4,32.3,35.4,27.7,55.8,8.5
Peterborough,2008,60.5,13.7,59,26.3,28.7,6,27.7,54.7,9.9
Peterborough,2009,59.7,18,65.8,19.2,35.8,5.9,27.7,55.8,10.2
Peterborough,2010,63.2,13.2,59,26.8,22.8,3.5,27.7,52.8,8.9
Peterborough,2011,60.6,12.4,59,30.3,21.6,2.8,27.7,55.9,11.5
Peterborough,2012,69.4,13.7,62.6,24.7,22,6.2,27.7,55,8.7
Peterborough,2013,67.6,22.2,60.7,24.8,35.6,0.8,27.7,56.5,12.2
Peterborough,2014,68.5,29.1,62.8,24.7,24.8,4.1,27.7,56.4,9.4
Peterborough,2015,62.9,17.8,62,24.3,17.5,4.7,27.7,55.4,9.3
Peterborough,2016,62.5,20.7,61.1,26,22.5,4,27.7,55.2,12
Peterborough,2017,68.3,28.1,61.7,24.7,21.7,5.1,27.7,56.4,9.9
Peterborough,2018,70.6,22.2,66,23.4,27.2,5.9,27.7,55.8,10.2
Peterborough,2019,60.5,20.7,58.8,30.4,15.1,1.9,27.7,56.5,9
Peterborough,2020,64.7,18,54.6,29.5,16.4,1.5,27.7,55.6,9.3
Peterborough,2021,65.1,28.1,66.3,24.4,15.8,4.6,27.7,55.8,9.6
Peterborough,2022,68,25.2,65.8,24.4,16.7,4.5,27.7,55.8,10.8
Peterborough,2023,59.7,25.2,59.8,31.4,9.6,3,27.7,55.8,9.9
Peterborough,2024,62.1,25.2,65.8,24.6,15.6,1.3,27.7,55.4,12
Peterborough,2025,60.2,24.5,65.8,23.5,12.1,4.6,27.7,55.8,8.7
Rochford,2006,61,13.2,59.8,21.4,32.5,4,11,55.4,10
Rochford,2007,60.2,14.5,64.4,19.4,35.8,0.8,11,55.4,10.8
Rochford,2008,59.6,13.7,63.9,19.3,31.7,4,11,54.3,9.6
Rochford,2009,70.6,36.9,66.5,20.6,21.7,4.5,11,55.6,10
Rochford,2010,49.8,13.2,69.8,15.1,35.6,31.8,11,55.8,8.2
Rochford,2011,55.7,13.7,64.7,18.9,31.7,7.7,11,54.7,10
Rochford,2012,60.5,19.4,65.8,21.6,19.4,2.2,11,56.6,10.8
Rochford,2013,59.8,25.2,71.4,16.8,35.6,3.4,11,55.8,12.2
Rochford,2014,53.1,15.2,71,15.2,20.1,2.5,11,55.6,10.6
Rochford,2015,55.7,27.6,64.2,20.8,20.9,2.1,11,55.6,9.9
Rochford,2016,61.4,28.1,70,19.2,27.9,1,11,55.8,10.7
Rochford,2017,57,36.9,69.8,22.4,27,1.8,11,55.8,12.2
Rochford,2018,63.1,24.5,66.5,19.4,22.3,2.8,11,55.4,11.5
Rochford,2019,62,25.2,67.7,20.2,9.6,2.2,11,55.6,9.9
Rochford,2020,63.9,25.2,73.7,16.5,14.9,1.9,11,55.8,10.8
Rochford,2021,58,29.1,69.8,22.1,10.9,2.6,11,56.4,10
Rochford,2022,56.5,29.1,70.9,20.4,16.7,3.9,11,55.8,10.7
Rochford,2023,57.4,29.1,74.7,17.9,24.4,1.5,11,55.8,11.1
Rochford,2024,60.1,25.2,68.3,20.6,8.7,3.4,11,55.6,10.3
Rochford,2025,60.1,24.5,73,19.4,15.6,2.2,11,55.8,11.1
South Cambridgeshire,2006,59.8,10.1,62.8,17.2,35.8,3.4,8.1,54.9,10.1
South Cambridgeshire,2007,61.1,21.6,67.4,16.8,32.5,5.9,8.1,55.8,10.2
South Cambridgeshire,2008,58.2,17.8,68.1,17,27.5,0.8,8.1,56.4,10.7
South Cambridgeshire,2009,62.7,14.5,56.6,24.4,22.9,2.1,8.1,55.6,9.3
South Cambridgeshire,2010,59.6,13.7,62.6,21.7,25.2,7.7,8.1,53.5,10.7
South Cambridgeshire,2011,49.8,15.2,67.4,14.4,32.9,2.2,8.1,55.8,8.7
South Cambridgeshire,2012,66.5,25.2,65.2,19.9,22.5,0.5,8.1,56.4,12.2
South Cambridgeshire,2013,60.6,36.9,72.8,16.8,22.8,0.1,8.1,55.8,11.1
South Cambridgeshire,2014,62.4,29.1,73.3,16,20.5,1.7,8.1,55.6,10
South Cambridgeshire,2015,58.9,29.1,71.9,14.8,21.2,6.6,8.1,55.4,10.6
South Cambridgeshire,2016,56.2,22.2,73.1,15.2,21.6,12.4,8.1,55.8,12.2
South Cambridgeshire,2017,58.1,15.1,68.3,19.6,17.6,11.7,8.1,56.6,10.7
South Cambridgeshire,2018,56.9,28.1,73,16.9,23.7,7.8,8.1,56.4,10.8
South Cambridgeshire,2019,58.1,25.2,74.9,17,13.4,7.9,8.1,55.8,10
South Cambridgeshire,2020,59.4,25.2,69.7,19.7,8.7,4.2,8.1,55.8,10.2
South Cambridgeshire,2021,61.8,24.5,67.6,19.1,16.2,1.2,8.1,55.4,10.9
South Cambridgeshire,2022,63.3,36.9,69,17.9,9.9,3.7,8.1,56.4,12.4
South Cambridgeshire,2023,58.9,28.1,74.7,14.9,22.4,2.6,8.1,55.6,12.2
South Cambridgeshire,2024,49.8,29.1,78.4,13.8,13.4,1.3,8.1,55.4,10.2
South Cambridgeshire,2025,51.1,29.1,72,19.2,10.2,2.1,8.1,55.8,10
South Norfolk,2006,65.1,16.6,59.5,23.4,28.7,3.2,13,53.6,9.4
South Norfolk,2007,64,14.5,60.8,21.2,35.6,6.2,13,55.9,10.8
South Norfolk,2008,62.1,10.1,64.3,18.6,20.1,4.6,13,54.8,9.3
South Norfolk,2009,63.1,14.5,63.9,20.6,22.5,7.9,13,55.3,9.6
South Norfolk,2010,60.3,18,64.4,17.1,21.7,4.2,13,55.6,8.5
South Norfolk,2011,56.2,18,69.1,14.8,32.5,0.8,13,56.4,10.6
South Norfolk,2012,59.3,17.8,65.5,20.6,22.4,0.4,13,55.8,10.2
South Norfolk,2013,58,13.7,59.8,24.5,21.8,2.7,13,55.4,9.9
South Norfolk,2014,60.3,28.1,71.7,17.9,21.6,1,13,55.8,10.8
South Norfolk,2015,66,36.9,69.4,16.6,17.5,3.6,13,56.4,10.6
South Norfolk,2016,60.3,25.2,70.9,16.5,15.3,4.7,13,55.4,12
South Norfolk,2017,57.7,22.2,69.1,17.9,16.4,2.5,13,55.8,12.2
South Norfolk,2018,61.6,24.5,73.3,16.8,16.9,2.1,13,55.8,10.8
South Norfolk,2019,58.7,36.9,66.4,19.3,7,1.7,13,56.4,11.5
South Norfolk,2020,59.3,25.2,62.8,25.4,10.9,1.2,13,55.6,10.3
South Norfolk,2021,57.6,28.1,68,19.6,14.8,3.2,13,55.8,9.4
South Norfolk,2022,58.2,36.9,71.4,22.4,8.7,2.1,13,55.8,10.8
South Norfolk,2023,62.7,24.5,75.2,16.9,13.6,2.1,13,56.4,10
South Norfolk,2024,51.1,28.1,69.8,20.4,10.2,5,13,55.8,10.4
South Norfolk,2025,60.1,29.1,74.7,18.9,10.2,2.1,13,55.4,12.2
Southend-on-Sea,2006,68.5,16.6,56.6,27.3,22.5,1.3,24.5,54.6,9.4
Southend-on-Sea,2007,62.1,14.5,61.1,24.5,32.5,3.4,24.5,54.7,10.3
Southend-on-Sea,2008,63.5,14.5,65.2,18.4,35.8,6,24.5,55.6,9
Southend-on-Sea,2009,55.8,12.4,58.6,25.7,33,5.9,24.5,54.8,9.3
Southend-on-Sea,2010,65.1,16.6,59.5,23.5,30,2.2,24.5,54.4,9.7
Southend-on-Sea,2011,67.3,29.1,63.6,22.8,32.5,1.6,24.5,55.6,10
Southend-on-Sea,2012,62.5,17.8,63,23.1,20.1,0.4,24.5,55.6,9.3
Southend-on-Sea,2013,65.1,13.2,59.5,26,22,2.2,24.5,54.9,9.6
Southend-on-Sea,2014,60.5,17.8,61.4,23.5,23.7,4.8,24.5,55,9.6
Southend-on-Sea,2015,58.7,15.1,65,22.6,28.7,4,24.5,54.2,10.7
Southend-on-Sea,2016,58.5,15.2,63.4,24.1,23.6,3.2,24.5,55.2,9
Southend-on-Sea,2017,68,25.2,63,24.4,25.9,1.9,24.5,56.4,12.2
Southend-on-Sea,2018,61.7,25.2,65.1,23.4,27.6,3.7,24.5,55.8,10.9
Southend-on-Sea,2019,65.1,29.1,63.2,27.6,15.6,2.5,24.5,55.8,10.2
Southend-on-Sea,2020,66.8,29.1,67.4,23.7,12.1,0.4,24.5,55.4,10
Southend-on-Sea,2021,70.7,28.1,54.8,35.1,10.2,1.9,24.5,55.5,10
Southend-on-Sea,2022,63.3,36.9,69.8,20.9,11.8,0.7,24.5,55.4,9.9
Southend-on-Sea,2023,60.6,29.1,67.4,24.7,10.3,2.9,24.5,55.8,10.2
Southend-on-Sea,2024,59.3,24.5,66.6,25.5,10.2,6.6,24.5,55.4,10.3
Southend-on-Sea,2025,66.1,29.1,68,25.1,11.1,1,24.5,55.8,10
St Albans,2006,60.3,13.2,61,21.7,30,1.7,7.7,54.6,9.9
St Albans,2007,58.7,14.5,61.1,19.4,20.1,1.3,7.7,56.1,9.9
St Albans,2008,61.9,17.8,64.9,18.4,21.6,1.1,7.7,54.9,9.4
St Albans,2009,56.9,14.5,60.8,20.3,21.7,3,7.7,55.7,9.7
St Albans,2010,57,21.6,59.8,21.5,32.9,3,7.7,55,10
St Albans,2011,54.4,17.8,72,16,35.6,20.9,7.7,55.8,10.2
St Albans,2012,62,29.1,70.9,16,27.5,3.4,7.7,55.8,12.2
St Albans,2013,49.8,10.1,68.5,15.3,31.7,3.3,7.7,55.9,12.2
St Albans,2014,58,15.2,63.7,22.5,16.2,2.9,7.7,55.6,10.2
St Albans,2015,58.7,36.9,74.8,14,26.9,2.6,7.7,55.6,11.1
St Albans,2016,49.8,36.9,73,16,30,2.6,7.7,56.4,12.2
St Albans,2017,48.9,24.5,73.7,13.3,29.1,3.3,7.7,56.4,12.2
St Albans,2018,50.3,24.5,68,18.6,22.4,3.2,7.7,55.4,10.3
St Albans,2019,51.1,36.9,77.8,11.4,21.7,1.4,7.7,55.4,10.9
St Albans,2020,61.8,24.5,67.8,21.4,18.3,2.6,7.7,56.4,11.1
St Albans,2021,54,29.1,71.4,19.8,17.9,2.9,7.7,56.4,10.8
St Albans,2022,51.1,29.1,78.4,11.4,16.4,4.4,7.7,55.6,12.4
St Albans,2023,62.4,29.1,69.9,19.5,16.4,1.1,7.7,55.4,10
St Albans,2024,49.8,24.5,69,21.6,9.6,1.9,7.7,55.8,12.4
St Albans,2025,60.1,25.2,71.7,19.7,10.3,0.7,7.7,55.4,10
Stevenage,2006,67.2,15.1,54.8,26.8,35.6,5.5,18.4,54.9,11.2
Stevenage,2007,58.1,13.2,62.2,21.5,34.6,0.4,18.4,55.1,9.4
Stevenage,2008,51.1,13.2,66.2,19.4,34.6,34.6,18.4,54.6,10
Stevenage,2009,60.2,13.7,61.9,22.2,22.8,3.4,18.4,54.6,9.4
Stevenage,2010,65.3,15.2,55.5,26,26.9,1.3,18.4,54.2,10
Stevenage,2011,59.5,24.5,67.7,20.2,35.6,3.4,18.4,55.4,10.7
Stevenage,2012,66.4,24.5,65.2,21,16.1,1.3,18.4,55.8,10.8
Stevenage,2013,64.8,24.5,64.4,20.9,15.5,7.9,18.4,55.6,10.9
Stevenage,2014,62,24.5,66.6,19.2,21.7,1.3,18.4,55.4,9.3
Stevenage,2015,64.6,28.1,68.7,17.2,21.7,3,18.4,55.8,9.9
Stevenage,2016,65,29.1,66.9,21.7,25,4,18.4,55.8,10.8
Stevenage,2017,64,24.5,60.4,25.3,26.5,4.2,18.4,55.2,9.3
Stevenage,2018,67.5,36.9,64.2,22.1,20.5,2.5,18.4,55.8,9.4
Stevenage,2019,69.5,28.1,61.9,23.3,13.2,2.5,18.4,55.8,10.5
Stevenage,2020,62.4,25.2,67.6,20.6,14.8,2.1,18.4,56.4,9.6
Stevenage,2021,59.8,24.5,75.1,16,10.9,4.1,18.4,55.4,9.6
Stevenage,2022,62.2,24.5,68.1,21.7,11.7,2,18.4,56.4,12.4
Stevenage,2023,66.4,28.1,75,19.2,10.9,7.9,18.4,55.6,10.7
Stevenage,2024,59.6,24.5,73.7,15.2,11.4,0.7,18.4,56.4,9.6
Stevenage,2025,62.4,28.1,67.6,24.5,11.1,3.4,18.4,55.4,10.6
Huntingdonshire,2006,65,14.5,55.5,27.4,35.6,11.2,28.4,56.1,8.5
Huntingdonshire,2007,58.9,13.2,68.3,22.2,32.3,12,28.4,55.8,12.2
Huntingdonshire,2008,49.8,14.5,71.7,18.9,32.9,36.2,28.4,55.8,8.9
Huntingdonshire,2009,66.8,13.7,62.8,21.9,27.5,2.2,28.4,55.2,9.3
Huntingdonshire,2010,68,10.1,59.5,23.3,27.5,1.3,28.4,54.2,10.4
Huntingdonshire,2011,69.4,13.7,58.4,25.8,17.5,4.6,28.4,54.8,9.3
Huntingdonshire,2012,63.2,13.2,59.8,30.3,24.4,2.2,28.4,55.4,12.2
Huntingdonshire,2013,61.6,18,62.6,22.4,20.1,5.7,28.4,55.8,9.7
Huntingdonshire,2014,68.7,27.6,62.3,24.7,20.5,2.4,28.4,56.4,10.4
Huntingdonshire,2015,66,10.1,58,31.4,12.1,3.3,28.4,55.6,9.3
Huntingdonshire,2016,67.5,21.2,62.6,27.3,19.9,3.9,28.4,56.5,10.8
Huntingdonshire,2017,67.6,29.1,62.6,25.1,14.8,3,28.4,55.6,8.7
Huntingdonshire,2018,66.4,29.1,59.8,25.8,13.7,1.5,28.4,56.4,9
Huntingdonshire,2019,68,36.9,68.1,23.5,8.7,0.5,28.4,55.8,10.4
Huntingdonshire,2020,60.3,25.2,68.1,21.7,18.7,1.1,28.4,55.8,12
Huntingdonshire,2021,64,36.9,65.3,24.7,13.6,3.5,28.4,55.8,10
Huntingdonshire,2022,62,29.1,71.4,22.2,15.6,5.9,28.4,55.8,10.7
Huntingdonshire,2023,67.6,36.9,69.7,23.1,15.6,3.6,28.4,55.4,11.5
Huntingdonshire,2024,64.1,36.9,63.6,22.3,9.6,1.1,28.4,55.6,9.7
Huntingdonshire,2025,60.3,29.1,71,20.6,17.6,4.5,28.4,56.4,11.5
Three Rivers,2006,60.6,17.8,65.2,17.1,33,2.2,10,55.8,10.6
Three Rivers,2007,58.6,24.5,69.1,13.9,34.6,5.5,10,56.4,10.2
Three Rivers,2008,64.2,18,67.7,14.9,35.6,4,10,55.8,10.2
Three Rivers,2009,62.2,20.7,63.5,20.2,31.7,4.6,10,55,10
Three Rivers,2010,61.9,13.7,62.3,19.3,23.5,1.7,10,54.9,9.4
Three Rivers,2011,60.6,25.2,69,18.5,26.9,2.2,10,55.4,11.1
Three Rivers,2012,58.2,17.8,63.4,18,21.7,2.9,10,55.8,10
Three Rivers,2013,67.5,25.2,61.1,18.6,25.9,2.9,10,55.6,9.3
Three Rivers,2014,57.8,16.6,63.3,20.9,16.4,1.3,10,56.6,11.5
Three Rivers,2015,60.2,36.9,69.9,17.8,22.8,1.9,10,55.6,10
Three Rivers,2016,56.9,21.2,68.2,18.9,19.3,1.3,10,55.8,11.5
Three Rivers,2017,56.9,19.4,69.8,16.5,19.3,3.4,10,56.4,10.7
Three Rivers,2018,59.4,25.2,71,18.6,26.3,2.1,10,55.4,10
Three Rivers,2019,53.1,29.1,71.7,19.6,10.8,1.2,10,55.6,10.2
Three Rivers,2020,61.4,24.5,71,19.8,10.2,3.2,10,55.6,10.7
Three Rivers,2021,57,36.9,72.9,16.5,11,0.2,10,55.4,12
Three Rivers,2022,56.9,36.9,70.9,17.2,24.4,1.3,10,55.8,10.7
Three Rivers,2023,57.4,29.1,73.3,19.2,15.8,4.2,10,55.8,10
Three Rivers,2024,59.8,28.1,74.7,17.2,9.6,3.4,10,55.8,10.7
Three Rivers,2025,54.4,24.5,74.8,15.3,8.7,6.6,10,55.6,9.6
Thurrock,2006,66.4,13.2,60.8,23.7,21.7,0.7,21.6,54.8,10.3
Thurrock,2007,58.7,12.4,60.8,20.9,31.7,4,21.6,55.4,9.1
Thurrock,2008,65.2,20.7,63.5,20.9,33,1.4,21.6,55.6,9.6
Thurrock,2009,59.6,15.2,68.1,18.6,32.5,11.2,21.6,55.6,9.6
Thurrock,2010,69.4,20.7,60.8,23.8,22.5,1.6,21.6,55.4,10.3
Thurrock,2011,62.4,13.7,65.5,18.9,25.1,0.4,21.6,55.8,9.3
Thurrock,2012,59.7,10.1,60.4,24.7,23.7,6.6,21.6,55.9,8.7
Thurrock,2013,56.9,15.2,71,15.3,35.6,20.9,21.6,55.8,8.5
Thurrock,2014,64.6,25.2,63.6,25.3,17.5,1.7,21.6,55.4,10.6
Thurrock,2015,65.8,36.9,54.8,31,18.4,1.3,21.6,55.4,9.3
Thurrock,2016,69.4,36.9,59.5,28.5,21.6,1.1,21.6,55.4,10.2
Thurrock,2017,69,25.2,60.9,26.7,20.1,2,21.6,55.9,10
Thurrock,2018,75.9,28.1,58.6,25.4,19.2,0.8,21.6,56.6,9.4
Thurrock,2019,69.4,36.9,58.3,28.8,9.9,0.5,21.6,56.4,9.4
Thurrock,2020,62.9,29.1,60.5,27.1,12.1,2.7,21.6,56.4,9.9
Thurrock,2021,60.9,25.2,65.3,24.4,12.1,2.6,21.6,55.8,9.3
Thurrock,2022,62.2,28.1,64.4,27.3,14.4,4.9,21.6,55.6,10.6
Thurrock,2023,61.1,24.5,68.6,21.7,7,0.7,21.6,55.8,10.6
Thurrock,2024,56.5,24.5,75.5,17.2,10.3,11.7,21.6,55.4,12
Thurrock,2025,62.2,24.5,65.2,23.3,11.4,0.6,21.6,55.6,11.2
Uttlesford,2006,61.7,17.8,62,21.7,35.6,0.4,9.7,54.7,11.1
Uttlesford,2007,61.9,16.6,61.4,19.1,30,2.2,9.7,56.1,10.6
Uttlesford,2008,66,10.1,64.7,17.1,27.5,3.6,9.7,54.6,10
Uttlesford,2009,61.1,27.6,60.4,21.2,35.8,3.4,9.7,55.6,10.6
Uttlesford,2010,60.7,19.4,61.8,19.3,32.9,3.2,9.7,54.9,9.6
Uttlesford,2011,49.8,19.4,63.5,19.3,35.8,5.5,9.7,55.8,12
Uttlesford,2012,58.5,29.1,67.8,18.3,21.7,0.3,9.7,55.8,10.2
Uttlesford,2013,57.9,28.1,66.5,18.9,26.9,2.3,9.7,55.8,12.2
Uttlesford,2014,60.7,27.6,65.8,17.2,16.1,0.7,9.7,55.8,10.2
Uttlesford,2015,57.2,28.1,69,18.4,18.2,1.1,9.7,56.4,11.1
Uttlesford,2016,55.3,22.2,71.4,18.4,15.9,1.3,9.7,55.6,10.7
Uttlesford,2017,57.3,25.2,70.7,19.2,16.4,0.7,9.7,55.8,10.2
Uttlesford,2018,57.6,28.1,74.7,13.9,25.7,2.3,9.7,55.8,10.8
Uttlesford,2019,62.6,29.1,67.8,19.1,13.7,0.7,9.7,55.8,10.7
Uttlesford,2020,58.9,29.1,66.4,19.1,13.2,2.7,9.7,55.6,10.8
Uttlesford,2021,67.8,28.1,68.3,24.5,14.2,1.1,9.7,56.4,12.2
Uttlesford,2022,55.3,36.9,73.7,17.2,15.2,2.2,9.7,55.6,10.2
Uttlesford,2023,54,36.9,73.7,18.9,13.2,2,9.7,55.6,10.8
Uttlesford,2024,59.6,28.1,73.7,19.8,13.7,3.7,9.7,55.4,10.7
Uttlesford,2025,49.8,24.5,74.7,14.9,18.3,2.5,9.7,55.8,10.9
Watford,2006,66.7,17.8,63.5,18.8,22.8,4,15.7,55.7,9.7
Watford,2007,65.1,18,63.9,19.6,21.7,4.5,15.7,55.8,10.4
Watford,2008,60.5,13.7,62.3,20.9,32.5,4.8,15.7,54.4,8.7
Watford,2009,64.2,27.6,65.2,19.3,22.5,1.1,15.7,56.4,10
Watford,2010,63.3,22.2,65.2,20.2,30,6.2,15.7,55.8,10.2
Watford,2011,60.6,13.7,54.8,30.3,22,5.9,15.7,55.9,12.2
Watford,2012,57,22.2,68.4,18.6,35.8,4.8,15.7,55.4,12.2
Watford,2013,62,21.2,66.6,17.2,23.4,5,15.7,55.6,8.7
Watford,2014,68.3,29.1,69.1,18.9,19.3,1.3,15.7,55.8,11.1
Watford,2015,61.9,29.1,67.8,19.3,28.4,6.2,15.7,55.6,10.6
Watford,2016,55.4,18,68,20.4,26.9,3.4,15.7,55.6,10.2
Watford,2017,67,25.2,60.5,25.6,21.8,1.3,15.7,55,10
Watford,2018,60.5,28.1,64.4,21.9,27.7,2.5,15.7,56.4,11.1
Watford,2019,60.1,29.1,66.2,21.7,17.9,1.6,15.7,55.8,10.3
Watford,2020,67.5,28.1,70.1,19.5,16,3,15.7,55.6,10
Watford,2021,58.1,28.1,75.1,15.2,21,1.3,15.7,55.8,10.7
Watford,2022,60.3,28.1,69.9,19.9,13.7,4,15.7,55.6,10.6
Watford,2023,63.3,28.1,74.3,17.9,12.1,2.1,15.7,55.8,10.7
Watford,2024,56.9,24.5,71.8,21.3,13.2,2.2,15.7,55.6,10.8
Watford,2025,54,24.5,73.4,19.6,13.6,3.4,15.7,56.4,10.8
Welwyn Hatfield,2006,62.4,13.2,64.9,18.3,32.5,5.9,12.9,55.6,10.4
Welwyn Hatfield,2007,59.8,10.1,63.8,19,31.7,3.4,12.9,53.6,9.3
Welwyn Hatfield,2008,59.6,14.5,64.7,18.7,35.8,13,12.9,55.4,10.6
Welwyn Hatfield,2009,58.1,16.6,66.5,17.1,35.6,3.3,12.9,55.8,11.4
Welwyn Hatfield,2010,60.9,18,66.2,18.8,26.9,1.1,12.9,56.5,10.7
Welwyn Hatfield,2011,64,28.1,61.7,21.5,16.3,0.7,12.9,55.4,9.9
Welwyn Hatfield,2012,58.9,10.1,60.9,23.7,17,3.9,12.9,55.9,12.2
Welwyn Hatfield,2013,63.2,22.2,66.2,19.6,23.4,1,12.9,56.4,10
Welwyn Hatfield,2014,67.5,29.1,69.9,15.7,15.8,0.7,12.9,55.8,10.6
Welwyn Hatfield,2015,64.8,36.9,68.6,18.4,23.5,4.8,12.9,55.4,9.9
Welwyn Hatfield,2016,61.1,28.1,63.5,20.6,24.8,4,12.9,55.8,9.3
Welwyn Hatfield,2017,63.2,24.5,73.4,17.2,24.4,2.9,12.9,56.4,10.7
Welwyn Hatfield,2018,66.7,29.1,62.8,22.3,24.1,2.6,12.9,55.8,10.8
Welwyn Hatfield,2019,60.2,36.9,68.5,21,16.4,2.6,12.9,55.4,10
Welwyn Hatfield,2020,57.3,29.1,68.2,21.5,21.2,2.2,12.9,55.6,12.4
Welwyn Hatfield,2021,59.3,36.9,68.4,17.2,14.3,1,12.9,56.4,10.5
Welwyn Hatfield,2022,58.9,24.5,72.9,17.9,16.4,5.5,12.9,55.6,11.1
Welwyn Hatfield,2023,58.1,28.1,75,14.4,10.8,2.5,12.9,55.8,12
Welwyn Hatfield,2024,60.3,24.5,73.7,17.9,13.2,5,12.9,55.8,10.7
Welwyn Hatfield,2025,60.2,25.2,69.7,19.8,10.9,2.7,12.9,55.4,10.8
West Suffolk,2006,61.2,14.5,59.5,21.2,35.6,0.4,11.8,54.3,10.3
West Suffolk,2007,60.2,13.2,61,21.7,32.5,0.4,15.3,54.9,12
West Suffolk,2008,60.2,24.5,62.7,19.6,34.6,1,8.1,56.5,10.8
West Suffolk,2009,63.1,20.7,63.9,18.4,27.5,3.6,11,55.4,10.3
West Suffolk,2010,64.1,21.2,63.7,21.4,24.1,0.8,28.4,55.8,10
West Suffolk,2011,64.4,24.5,69.8,18.4,32.5,13,15.3,55.8,10
West Suffolk,2012,66,24.5,63.9,23.2,26.7,3.4,28.4,56.4,9.9
West Suffolk,2013,58.8,24.5,70,17.9,35.6,4.8,12.4,55.4,12.2
West Suffolk,2014,65.1,28.1,66.5,21,18.4,1.5,12.7,55.8,11.1
West Suffolk,2015,68,20.7,60.8,26.2,18.8,2.6,23.6,54.9,10.4
West Suffolk,2016,66.3,25.2,69.1,21.5,21.6,4.5,16.6,55.4,10.8
West Suffolk,2017,62.8,22.2,63.3,24.7,19.8,3.2,15.1,56.5,11.1
West Suffolk,2018,70.2,28.1,69.9,17.2,18.4,2.7,12.9,55.6,10
West Suffolk,2019,57.8,21.2,69.1,21.5,14.8,1.7,12.4,55.8,11.1
West Suffolk,2020,68.5,29.1,62.7,29.3,14.2,1.5,26.1,55.4,10
West Suffolk,2021,59,25.2,68.5,19.3,16.7,0.7,11.1,55.6,11.5
West Suffolk,2022,61.6,24.5,68.7,21.5,9.9,4.5,23.4,56.4,10.7
West Suffolk,2023,66.3,29.1,73.4,20.4,15.6,12.4,24.5,55.8,10.8
West Suffolk,2024,56.3,28.1,71.4,19.7,10.2,1.5,12.9,55.8,12.4
West Suffolk,2025,66.1,24.5,62.8,30.6,10.2,1.9,21.3,55.2,10
